x3,x4,x1,x2,x5,y
6.1,3,4.9,1.8,a,2
6.4,2.8,5.6,2.1,s,2
7.2,3,5.8,1.6,e,2
7.4,2.8,6.1,1.9,e,2
7.9,3.8,6.4,2,e,2
6.4,2.8,5.6,2.2,e,2
6.3,2.8,5.1,1.5,e,2
6.1,2.6,5.6,1.4,s,2
7.7,3,6.1,2.3,s,2
6.3,3.4,5.6,2.4,s,2
6.4,3.1,5.5,1.8,s,2
6,3,4.8,1.8,s,2
6.9,3.1,5.4,2.1,a,2
6.7,3.1,5.6,2.4,a,2
6.9,3.1,5.1,2.3,a,2
5.8,2.7,5.1,1.9,a,2
6.8,3.2,5.9,2.3,a,2
6.7,3.3,5.7,2.5,s,2
6.7,3,5.2,2.3,s,2
6.3,2.5,5,1.9,s,2
6.5,3,5.2,2,e,2
6.2,3.4,5.4,2.3,e,2
5.9,3,5.1,1.8,e,2
